DiagRA D   Version 7.34.38.38262     Copyright by RA Consulting GmbH
注册为Weiqun Song

日期：06/13/2019, 10:10:02 am

测量文件：C:\Users\Public\Documents\RA Consulting\DiagRA D\DiagRA_D.dra

接口：MongoosePro ISO
驱动版本：1.1.10.0


车辆
--


操作员：                    
地点：                     
部门：                     




控制器
---
33  Scan-Tool
协议：ISO 15765-4 (CAN)

支持的 Mode 与 PID 列表
-----------------
模式          PID         模块                            注释
--------------------------------------------------------------------------------
Mode 1      *****       *****                         当前动力总成数据
1           00          E8                            支持的 PIDs01-1F
1           01          E8                            清除DTC之后的监控状态
1           03          E8                            供油系统A状态, 供油系统B状态
1           04          E8                            计算负荷值
1           05          E8                            发动机冷却液温度
1           06          E8                            短期燃油调整值 - 气缸组1, 短期燃油调整值 - 气缸组3
1           07          E8                            长期燃油调整值 - 气缸组1, 长期燃油调整值 - 气缸组3
1           0B          E8                            进气歧管绝对压力
1           0C          E8                            发动机转速
1           0D          E8                            车速传感器
1           0E          E8                            气缸#1点火提前角
1           0F          E8                            进气温度
1           11          E8                            绝对节气门位置
1           13          E8                            氧传感器位置
1           15          E8                            氧传感器输出电压, 短期燃油调整值
1           1C          E8                            车辆或发动机的OBD型式核准类型
1           1F          E8                            发动机自启动后运行时间
1           20          E8                            支持的 PIDs21-3F
1           21          E8                            MIL灯点亮后的行驶距离
1           2E          E8                            指令的燃油蒸发排放
1           2F          E8                            燃油油位输入
1           30          E8                            自清除故障代码后的暖机次数
1           31          E8                            自清除故障代码后的行驶距离
1           32          E8                            蒸发排放系统蒸汽压力
1           33          E8                            大气压力
1           34          E8                            当量比, 氧传感器电流
1           3C          E8                            催化器温度 气缸组1传感器1
1           40          E8                            支持的 PIDs41-5F
1           41          E8                            本次驾驶循环监控状态
1           42          E8                            控制模块电压
1           43          E8                            绝对负荷值
1           44          E8                            燃空指令当量比
1           45          E8                            相对节气门位置
1           46          E8                            环境气温
1           47          E8                            绝对节气门位置 B
1           49          E8                            油门踏板位置 D
1           4A          E8                            油门踏板位置 E
1           4C          E8                            指令的节气门执行器控制
